issue_name,term,term_type,weight,start_election,end_election,notes
candidate_competence,국정 운영,campaign_phrase,1.1,pres_2002,,governance competence
candidate_competence,후보 검증,campaign_phrase,1.125,pres_2002,,candidate vetting
candidate_competence,경제 능력,campaign_phrase,1.1,pres_2007,,economic competence
candidate_competence,공약 이행,campaign_phrase,1.075,pres_2007,,pledge delivery
regime_change,정권 교체,campaign_phrase,1.2,pres_2002,,change government frame
regime_change,정권 심판,campaign_phrase,1.2,pres_2002,,judgment frame
regime_change,정권 재창출,campaign_phrase,1.15,pres_2002,,incumbent continuity frame
regime_change,국정 안정,campaign_phrase,1.125,pres_2002,,stability frame
unification_event,후보 단일화,campaign_phrase,1.25,pres_2002,,candidate unification event
unification_event,단일화 협상,campaign_phrase,1.225,pres_2002,,unification negotiation
unification_event,단일화 결렬,campaign_phrase,1.225,pres_2002,,unification breakdown
withdrawal_event,후보 사퇴,campaign_phrase,1.225,pres_2002,,candidate withdrawal
withdrawal_event,출마 포기,campaign_phrase,1.175,pres_2002,,run withdrawal
endorsement_event,지지 선언,campaign_phrase,1.125,pres_2002,,endorsement declaration
endorsement_event,지원 유세,campaign_phrase,1.075,pres_2002,,campaign support speech
gaffe_event,막말,campaign_term,1.125,pres_2002,,gaffe frame
gaffe_event,논란 발언,campaign_phrase,1.125,pres_2002,,controversial remark
gaffe_event,발언 논란,campaign_phrase,1.125,pres_2002,,remark controversy
external_shock,금융 위기,campaign_phrase,1.15,pres_2007,pres_2012,global financial crisis
external_shock,코로나 대응,campaign_phrase,1.2,pres_2022,pres_2022,covid response
external_shock,방역 대책,campaign_phrase,1.15,pres_2022,pres_2022,public health response
external_shock,우크라이나 전쟁,campaign_phrase,1.125,pres_2022,,ukraine war frame
